TES	= "countries/Test.txt"
#####OUR COUNTRIES###
##BRITTANIA##
ALB	= "countries/alba.txt"
BRG	= "countries/brigantes.txt"
BRT	= "countries/brittania romania.txt"
CTV	= "countries/catuveilani.txt"
DAR	= "countries/darinii.txt"
DMN	= "countries/demnonii.txt"
DRU	= "countries/druids.txt"
HIL	= "countries/hibernia libira.txt"
HIR	= "countries/hibernia romani.txt"
ICI	= "countries/iceni.txt"
NAG	= "countries/nagantii.txt"
ORD	= "countries/ordovites.txt"
PAR	= "countries/parisi.txt"
PIC	= "countries/pictia.txt"
RVK	= "countries/riki vikinganna.txt"
SIL	= "countries/silures.txt"
#	= "countries/.txt"
#	= "countries/.txt"
#	= "countries/.txt"
#	= "countries/.txt"
#	= "countries/.txt"
#	= "countries/.txt"
#	= "countries/.txt"
#	= "countries/.txt"
#	= "countries/.txt"
#	= "countries/.txt"
#	= "countries/.txt"
